1D_J1_h0.02 {'+0.050': (True, '2.195692684e-08'), '+0.100': (True, '7.860744461e-08'), '-0.100': (True, '-3.815122908e-08')}
1D_J1_h0.01 {'+0.050': (True, '8.189556442e-08'), '+0.100': (True, '2.807420837e-07'), '-0.100': (True, '-9.411943248e-08')}
1D_J1_h0.005 {'+0.050': (True, '1.114137468e-07'), '+0.100': (True, '3.910703890e-07'), '-0.100': (True, '-9.467798998e-08')}
1D_J1_h0.0025 {'+0.050': (True, '1.142780202e-07'), '+0.100': (True, '4.038313807e-07'), '-0.100': (True, '-9.518076452e-08')}
1D_J1_h0.00125 {'+0.050': (True, '1.145373773e-07'), '+0.100': (True, '4.048437314e-07'), '-0.100': (True, '-9.529517991e-08')}
1D_J1_h0.000625 {'+0.050': (True, '1.145966727e-07'), '+0.100': (True, '4.050671044e-07'), '-0.100': (True, '-9.532348463e-08')}
1D_J1_h0.0003125 {'+0.050': (True, '1.146112922e-07'), '+0.100': (True, '4.051220718e-07'), '-0.100': (True, '-9.533054172e-08')}
M1_D0_h0.02 {'+0.050': (True, '2.192571926e-13'), '+0.100': (True, '7.846936703e-13'), '-0.100': (True, '-3.813679428e-13')}
M1_D0_h0.01 {'+0.050': (True, '8.170623949e-13'), '+0.100': (True, '2.800618722e-12'), '-0.100': (True, '-9.378828119e-13')}
M1_D0_h0.005 {'+0.050': (True, '1.107235466e-12'), '+0.100': (True, '3.887730509e-12'), '-0.100': (True, '-9.392737226e-13')}
M1_D0_h0.0025 {'+0.050': (True, '1.138927299e-12'), '+0.100': (True, '4.024047012e-12'), '-0.100': (True, '-9.517093707e-13')}
M2_D0_h0.02 {'+0.050': (True, '2.195692692e-13'), '+0.100': (True, '7.860744480e-13'), '-0.100': (True, '-3.815122907e-13')}
M2_D0_h0.01 {'+0.050': (True, '8.189556465e-13'), '+0.100': (True, '2.807420833e-12'), '-0.100': (True, '-9.411943247e-13')}
M2_D0_h0.005 {'+0.050': (True, '1.114137468e-12'), '+0.100': (True, '3.910703893e-12'), '-0.100': (True, '-9.467798999e-13')}
M2_D0_h0.0025 {'+0.050': (True, '1.142780202e-12'), '+0.100': (True, '4.038313807e-12'), '-0.100': (True, '-9.518076451e-13')}
M3_D0_h0.02 {'+0.050': (True, '2.146549733e-13'), '+0.100': (True, '7.711390185e-13'), '-0.100': (True, '-3.704914825e-13')}
M3_D0_h0.01 {'+0.050': (True, '7.874649882e-13'), '+0.100': (True, '2.706237109e-12'), '-0.100': (True, '-9.164233111e-13')}
M3_D0_h0.005 {'+0.050': (True, '1.079672124e-12'), '+0.100': (True, '3.789077935e-12'), '-0.100': (True, '-9.240437228e-13')}
M3_D0_h0.0025 {'+0.050': (True, '1.123080048e-12'), '+0.100': (True, '3.969105317e-12'), '-0.100': (True, '-9.406739813e-13')}
M3_D1_h0.02 {'+0.050': (True, '2.183046671e-13'), '+0.100': (True, '7.816251856e-13'), '-0.100': (True, '-3.787286609e-13')}
M3_D1_h0.01 {'+0.050': (True, '8.186639330e-13'), '+0.100': (True, '2.806407048e-12'), '-0.100': (True, '-9.417898555e-13')}
M3_D1_h0.005 {'+0.050': (True, '1.118145505e-12'), '+0.100': (True, '3.924293236e-12'), '-0.100': (True, '-9.536459159e-13')}
M3_D1_h0.0025 {'+0.050': (True, '1.149366918e-12'), '+0.100': (True, '4.060904619e-12'), '-0.100': (True, '-9.558457465e-13')}
